Timestep,Mean Reward (1000 steps),Max Reward,Actor Loss,Critic Loss
1000,nan,102.06107,,
2000,nan,102.06107,,
3000,nan,133.69421,,
4000,nan,133.69421,,
5000,nan,133.69421,,
6000,nan,133.69421,,
7000,nan,133.69421,,
8000,nan,133.69421,,
9000,nan,133.69421,,
10000,nan,133.69421,,
11000,nan,133.69421,,
12000,nan,133.69421,,
13000,nan,133.69421,,
14000,nan,133.69421,,
15000,nan,133.69421,,
16000,nan,133.69421,,
17000,nan,133.69421,,
18000,nan,133.69421,,
19000,nan,133.69421,,
20000,nan,133.69421,,
21000,nan,133.69421,,
22000,nan,133.69421,,
23000,nan,133.69421,,
24000,nan,133.69421,,
25000,nan,133.69421,,
26000,nan,133.69421,,
27000,nan,133.69421,,
28000,nan,133.69421,,
29000,nan,133.69421,,
30000,nan,133.69421,,
31000,nan,133.69421,,
32000,nan,133.69421,,
33000,nan,133.69421,,
34000,nan,133.69421,,
35000,nan,133.69421,,
36000,nan,133.69421,,
37000,nan,133.69421,,
38000,nan,133.69421,,
39000,nan,133.69421,,
40000,nan,133.69421,,
41000,nan,133.69421,,
42000,nan,133.69421,,
43000,nan,133.69421,,
44000,nan,133.69421,,
45000,nan,133.69421,,
46000,nan,133.69421,,
47000,nan,133.69421,,
48000,nan,133.69421,,
49000,nan,133.69421,,
50000,nan,133.69421,,
51000,nan,133.69421,,
52000,nan,133.69421,,
53000,nan,133.69421,,
54000,nan,133.69421,,
55000,nan,133.69421,,
56000,nan,133.69421,,
57000,nan,133.69421,,
58000,nan,133.69421,,
59000,nan,133.69421,,
60000,nan,133.69421,,
61000,nan,133.69421,,
62000,nan,133.69421,,
63000,nan,133.69421,,
64000,nan,133.69421,,
65000,nan,133.69421,,
66000,nan,133.69421,,
67000,nan,133.69421,,
68000,nan,133.69421,,
69000,nan,133.69421,,
70000,nan,133.69421,,
71000,nan,133.69421,,
72000,nan,133.69421,,
73000,nan,133.69421,,
74000,nan,133.69421,,
75000,nan,133.69421,,
76000,nan,133.69421,,
77000,nan,133.69421,,
78000,nan,133.69421,,
79000,nan,133.69421,,
80000,nan,133.69421,,
81000,nan,133.69421,,
82000,nan,133.69421,,
83000,nan,133.69421,,
84000,nan,133.69421,,
85000,nan,133.69421,,
86000,nan,133.69421,,
87000,nan,133.69421,,
88000,nan,133.69421,,
89000,nan,133.69421,,
90000,nan,133.69421,,
91000,nan,133.69421,,
92000,nan,133.69421,,
93000,nan,133.69421,,
94000,nan,133.69421,,
95000,nan,133.69421,,
96000,nan,133.69421,,
97000,nan,133.69421,,
98000,nan,133.69421,,
99000,nan,133.69421,,
100000,nan,133.69421,,
