Episode,Reward
1,-267.6173110976815
2,-260.09086935967207
3,-42.35485965013504
4,-372.31526280241087
5,-87.49966938979924
6,-324.10696179419756
7,-75.41806858405471
8,-229.47326438501477
9,-108.41360230359714
10,19.879681292921305
11,-177.77036364283413
12,-399.5606096498668
13,-107.04962952062488
14,-90.34265976957977
15,-102.38844212749973
16,-206.21530833933502
17,-358.81140395707916
18,-141.53886798396707
19,-186.35822956636548
20,-445.16313303261995
21,-74.86167455464602
22,-51.02362570539117
23,-174.45161312818527
24,-156.66424407064915
25,-278.85173643019516
26,-362.754139341414
27,-381.3578778728843
28,-76.16923801554367
29,-366.27897791564465
30,-156.39557021856308
31,-281.71213221922517
32,-268.10099322348833
33,-98.82213255763054
34,-200.3715324709192
35,-166.02534043230116
36,-191.09594928100705
37,-41.51973268389702
38,-249.96726907789707
39,-39.7955983504653
40,-334.74904465675354
41,-82.32907924894243
42,-74.70397518016398
43,-402.1780282109976
44,-413.8249271735549
45,-424.1234201528132
46,-342.9763115569949
47,-368.33142989873886
48,-99.95101208798587
49,-189.54075489775278
50,-128.59004935342818
51,-100.60381011478603
52,-252.62345615052618
53,-81.77834730455652
54,-207.51739244023338
55,-345.22605510801077
56,-220.25306593533605
57,-81.48621109127998
58,-421.3091350570321
59,-199.389682341367
60,-67.69031188637018
61,-65.8823765963316
62,-311.9205883741379
63,-58.371305267326534
64,-140.23960584774613
65,-242.46914402366383
66,-156.56549606099725
67,-108.7514529619366
68,-209.68666235357523
69,-286.63464154675603
70,-28.531211882829666
71,-266.4117786816787
72,-188.51348260045052
73,-179.25935625680722
74,-159.69491477496922
75,-55.28960541076958
76,-289.16804532520473
77,-288.23179968446493
78,-118.88530397601426
79,-33.82505920436233
80,-140.18055528402328
81,-305.61773868085584
82,-67.21800969541073
83,-445.0912133306265
84,-262.0363326892257
85,-222.07188339577988
86,-363.7064008489251
87,-124.40021757152863
88,-305.60242315381765
89,-290.95636264706263
90,-419.46722009126097
91,-324.4420587414934
92,-128.8730533553753
93,-135.3778808170464
94,-641.3629579246044
95,-263.2544439211488
96,-284.4263599240221
97,-255.1234534829855
98,-304.45898899808526
99,-51.92180674607516
100,-104.99340147874318
101,-44.77016046200879
102,-54.938349113450386
103,-178.43374258978292
104,-87.12726328101417
105,-79.10862690990325
106,-61.871171907987446
107,-83.03385428426554
108,-61.63902464020066
109,-69.67168266954832
110,-4.417328668758273
111,-40.149153891950846
112,-33.87594518286642
113,-20.760394212789834
114,-45.16526358760893
115,-33.100671862419404
116,-36.53138666621817
117,-0.5493233910528943
118,-62.14512430690229
119,5.329890502733178
120,5.985212941770442
121,-51.597304684109986
122,-40.134392944630235
123,-46.192019565962255
124,-32.72263719275361
125,-6.260666723828763
126,17.23377845773939
127,-32.71593799837865
128,-28.614635510610242
129,-205.5853371336998
130,-282.05655554961413
131,-0.9791567949578166
132,-38.67269785597455
133,-32.90972708701156
134,-54.69568502763286
135,-40.48028842872009
136,-216.2316472060047
137,-125.62503960705362
138,-8.542089610593393
139,-29.003022367018275
140,-48.36071474372875
141,-62.28668827278307
142,-43.0395425199531
143,-46.913076816592366
144,-53.21094021202407
145,-24.001563164565596
146,-14.674124942423077
147,-20.73191844311077
148,-3.777389853959903
149,-62.759685671539046
150,16.847750325803645
151,-41.12987495760899
152,-1.948255035915281
153,-60.62579529127106
154,-9.172309440094978
155,-50.06908475281671
156,-37.432275865008705
157,-11.573410721379332
158,-36.946106326184236
159,-24.469471987249563
160,-164.25056356412824
161,-48.83886479586363
162,28.661012785276398
163,-14.828860668465495
164,-42.87065183701634
165,26.91673506051302
166,-119.15327837341465
167,-127.21343720299774
168,-93.40321397810476
169,-107.054814190662
170,-29.3656609980535
171,-36.09998724516481
172,-84.4560730541125
173,-47.7388163220603
174,-60.21942878328264
175,8.764810894732364
176,-81.8587468729238
177,-194.53786945197498
178,-172.7111367440666
179,-44.10261694830842
180,-121.92635993644217
181,-12.413694790331647
182,-100.99563196534291
183,-93.44396939140279
184,-102.15539011312649
185,-120.24692739776219
186,-109.2222229433246
187,-71.13758442283142
188,-62.47117631760193
189,-55.094808274065144
190,-17.36988067976199
191,-74.60601785127074
192,-24.476350717617606
193,-19.056291974382475
194,-3.181305569043616
195,26.224067829549313
